xCent -- yCent -- P#0X -- P#0Y -- P#1X -- P#1Y -- t
744 -- 306 -- 739 -- 351 -- 771 -- 303 -- 1.0
748 -- 299 -- 741 -- 343 -- 769 -- 296 -- 2.0
745 -- 357 -- 724 -- 363 -- 765 -- 352 -- 3.0
743 -- 351 -- 726 -- 359 -- 763 -- 347 -- 4.0
747 -- 351 -- 724 -- 357 -- 771 -- 348 -- 5.0
744 -- 348 -- 710 -- 354 -- 771 -- 345 -- 6.0
733 -- 341 -- 716 -- 348 -- 753 -- 337 -- 7.0
729 -- 332 -- 708 -- 341 -- 749 -- 326 -- 8.0
731 -- 325 -- 714 -- 339 -- 751 -- 318 -- 9.0
723 -- 321 -- 709 -- 333 -- 738 -- 311 -- 10.0
685 -- 285 -- 692 -- 319 -- 687 -- 282 -- 11.0
695 -- 294 -- 700 -- 331 -- 717 -- 294 -- 12.0
693 -- 285 -- 697 -- 321 -- 717 -- 288 -- 13.0
700 -- 283 -- 704 -- 321 -- 725 -- 286 -- 14.0
710 -- 295 -- 712 -- 333 -- 733 -- 296 -- 15.0
710 -- 300 -- 710 -- 339 -- 737 -- 297 -- 16.0
726 -- 309 -- 722 -- 349 -- 749 -- 308 -- 17.0
722 -- 306 -- 716 -- 349 -- 749 -- 303 -- 18.0
727 -- 299 -- 720 -- 344 -- 754 -- 296 -- 19.0
727 -- 302 -- 722 -- 339 -- 754 -- 299 -- 20.0
729 -- 302 -- 722 -- 339 -- 756 -- 299 -- 21.0
730 -- 296 -- 723 -- 341 -- 757 -- 293 -- 22.0
730 -- 295 -- 726 -- 338 -- 757 -- 292 -- 23.0
730 -- 295 -- 724 -- 339 -- 757 -- 292 -- 24.0
732 -- 293 -- 726 -- 337 -- 759 -- 290 -- 25.0
729 -- 295 -- 722 -- 340 -- 756 -- 292 -- 26.0
731 -- 298 -- 727 -- 341 -- 758 -- 295 -- 27.0
733 -- 298 -- 726 -- 342 -- 760 -- 295 -- 28.0
731 -- 308 -- 724 -- 353 -- 758 -- 305 -- 29.0
733 -- 317 -- 730 -- 361 -- 760 -- 314 -- 30.0
730 -- 316 -- 729 -- 358 -- 757 -- 313 -- 31.0
728 -- 313 -- 726 -- 357 -- 755 -- 310 -- 32.0
738 -- 358 -- 714 -- 366 -- 765 -- 355 -- 33.0
731 -- 357 -- 704 -- 366 -- 758 -- 354 -- 34.0
737 -- 357 -- 712 -- 363 -- 764 -- 354 -- 35.0
722 -- 348 -- 693 -- 355 -- 749 -- 345 -- 36.0
730 -- 347 -- 712 -- 351 -- 749 -- 344 -- 37.0
722 -- 339 -- 702 -- 346 -- 743 -- 336 -- 38.0
718 -- 332 -- 693 -- 343 -- 743 -- 327 -- 39.0
725 -- 323 -- 694 -- 339 -- 751 -- 315 -- 40.0
702 -- 308 -- 680 -- 311 -- 725 -- 306 -- 41.0
697 -- 314 -- 686 -- 315 -- 715 -- 316 -- 42.0
691 -- 309 -- 688 -- 323 -- 697 -- 304 -- 43.0
702 -- 309 -- 704 -- 319 -- 711 -- 312 -- 44.0
688 -- 284 -- 694 -- 311 -- 689 -- 264 -- 45.0
702 -- 293 -- 708 -- 319 -- 701 -- 274 -- 46.0
718 -- 308 -- 722 -- 339 -- 745 -- 306 -- 47.0
735 -- 320 -- 722 -- 339 -- 751 -- 306 -- 48.0
731 -- 319 -- 722 -- 339 -- 751 -- 307 -- 49.0
