xCent -- yCent -- t
748 -- 301 -- 1.0
732 -- 359 -- 2.0
748 -- 349 -- 3.0
733 -- 352 -- 4.0
721 -- 349 -- 5.0
738 -- 344 -- 6.0
728 -- 338 -- 7.0
731 -- 324 -- 8.0
720 -- 330 -- 9.0
683 -- 279 -- 10.0
695 -- 295 -- 11.0
694 -- 287 -- 12.0
700 -- 285 -- 13.0
710 -- 297 -- 14.0
710 -- 301 -- 15.0
726 -- 311 -- 16.0
722 -- 308 -- 17.0
726 -- 296 -- 18.0
725 -- 303 -- 19.0
727 -- 304 -- 20.0
730 -- 298 -- 21.0
737 -- 306 -- 22.0
728 -- 297 -- 23.0
731 -- 294 -- 24.0
727 -- 293 -- 25.0
736 -- 313 -- 26.0
740 -- 316 -- 27.0
736 -- 325 -- 28.0
732 -- 318 -- 29.0
730 -- 317 -- 30.0
758 -- 306 -- 31.0
744 -- 362 -- 32.0
732 -- 356 -- 33.0
719 -- 356 -- 34.0
722 -- 348 -- 35.0
735 -- 346 -- 36.0
714 -- 346 -- 37.0
722 -- 330 -- 38.0
