CentDist -- xCent -- yCent -- P#0X -- P#0Y -- P#1X -- P#1Y -- P#2X -- P#2Y -- P#3X -- P#3Y -- t
0 -- 744 -- 306 -- 738 -- 339 -- 740 -- 360 -- 758 -- 311 -- 773 -- 306 -- 1.0
0 -- 748 -- 299 -- 742 -- 332 -- 741 -- 353 -- 762 -- 305 -- 776 -- 300 -- 2.0
90 -- 745 -- 357 -- 726 -- 365 -- 724 -- 363 -- 760 -- 359 -- 765 -- 353 -- 3.0
91 -- 743 -- 351 -- 726 -- 359 -- 726 -- 359 -- 758 -- 353 -- 771 -- 353 -- 4.0
92 -- 747 -- 351 -- 724 -- 357 -- 724 -- 357 -- 761 -- 355 -- 776 -- 351 -- 5.0
95 -- 744 -- 348 -- 714 -- 362 -- 710 -- 354 -- 759 -- 351 -- 773 -- 348 -- 6.0
85 -- 733 -- 341 -- 717 -- 349 -- 715 -- 347 -- 748 -- 343 -- 761 -- 343 -- 7.0
81 -- 729 -- 332 -- 710 -- 342 -- 708 -- 341 -- 744 -- 336 -- 747 -- 329 -- 8.0
78 -- 731 -- 325 -- 714 -- 339 -- 714 -- 339 -- 746 -- 325 -- 748 -- 321 -- 9.0
75 -- 723 -- 321 -- 709 -- 333 -- 709 -- 333 -- 738 -- 321 -- 735 -- 319 -- 10.0
0 -- 685 -- 285 -- 690 -- 315 -- 694 -- 323 -- 697 -- 294 -- 697 -- 304 -- 11.0
0 -- 695 -- 294 -- 694 -- 327 -- 700 -- 331 -- 709 -- 300 -- 724 -- 294 -- 12.0
0 -- 693 -- 285 -- 690 -- 318 -- 697 -- 321 -- 707 -- 291 -- 721 -- 288 -- 13.0
0 -- 700 -- 283 -- 698 -- 316 -- 704 -- 321 -- 714 -- 289 -- 728 -- 286 -- 14.0
0 -- 710 -- 295 -- 708 -- 328 -- 712 -- 333 -- 724 -- 301 -- 738 -- 298 -- 15.0
0 -- 710 -- 300 -- 708 -- 333 -- 710 -- 339 -- 724 -- 306 -- 739 -- 300 -- 16.0
0 -- 726 -- 309 -- 723 -- 342 -- 722 -- 349 -- 740 -- 315 -- 754 -- 312 -- 17.0
0 -- 722 -- 306 -- 718 -- 339 -- 718 -- 360 -- 736 -- 312 -- 751 -- 306 -- 18.0
0 -- 727 -- 299 -- 721 -- 332 -- 716 -- 352 -- 741 -- 305 -- 756 -- 299 -- 19.0
0 -- 727 -- 302 -- 721 -- 335 -- 722 -- 339 -- 741 -- 308 -- 756 -- 302 -- 20.0
0 -- 729 -- 302 -- 723 -- 335 -- 722 -- 339 -- 743 -- 308 -- 758 -- 302 -- 21.0
0 -- 730 -- 296 -- 724 -- 329 -- 722 -- 350 -- 744 -- 302 -- 759 -- 296 -- 22.0
0 -- 730 -- 295 -- 724 -- 328 -- 726 -- 338 -- 744 -- 301 -- 759 -- 295 -- 23.0
0 -- 730 -- 295 -- 724 -- 328 -- 727 -- 349 -- 744 -- 301 -- 759 -- 295 -- 24.0
0 -- 732 -- 293 -- 726 -- 326 -- 728 -- 347 -- 746 -- 299 -- 761 -- 293 -- 25.0
0 -- 729 -- 295 -- 723 -- 328 -- 720 -- 349 -- 743 -- 301 -- 757 -- 297 -- 26.0
0 -- 731 -- 298 -- 725 -- 331 -- 727 -- 341 -- 745 -- 304 -- 759 -- 299 -- 27.0
0 -- 733 -- 298 -- 728 -- 331 -- 728 -- 352 -- 747 -- 304 -- 762 -- 298 -- 28.0
0 -- 731 -- 308 -- 725 -- 341 -- 722 -- 362 -- 745 -- 314 -- 760 -- 309 -- 29.0
0 -- 733 -- 317 -- 730 -- 350 -- 730 -- 371 -- 747 -- 323 -- 762 -- 317 -- 30.0
0 -- 730 -- 316 -- 726 -- 349 -- 731 -- 359 -- 744 -- 322 -- 759 -- 316 -- 31.0
0 -- 728 -- 313 -- 724 -- 346 -- 726 -- 367 -- 742 -- 319 -- 757 -- 313 -- 32.0
87 -- 738 -- 358 -- 710 -- 375 -- 713 -- 365 -- 753 -- 361 -- 766 -- 361 -- 33.0
86 -- 731 -- 357 -- 702 -- 372 -- 704 -- 366 -- 746 -- 359 -- 759 -- 359 -- 34.0
94 -- 737 -- 357 -- 708 -- 371 -- 712 -- 363 -- 751 -- 361 -- 766 -- 357 -- 35.0
80 -- 722 -- 348 -- 693 -- 364 -- 693 -- 355 -- 737 -- 351 -- 751 -- 348 -- 36.0
87 -- 730 -- 347 -- 712 -- 351 -- 712 -- 351 -- 744 -- 351 -- 759 -- 347 -- 37.0
81 -- 722 -- 339 -- 703 -- 347 -- 702 -- 346 -- 737 -- 341 -- 750 -- 343 -- 38.0
80 -- 718 -- 332 -- 693 -- 353 -- 693 -- 343 -- 733 -- 333 -- 746 -- 337 -- 39.0
74 -- 725 -- 323 -- 704 -- 348 -- 694 -- 339 -- 740 -- 326 -- 743 -- 321 -- 40.0
42 -- 702 -- 308 -- 685 -- 313 -- 680 -- 311 -- 716 -- 313 -- 731 -- 308 -- 41.0
47 -- 697 -- 314 -- 704 -- 323 -- 686 -- 315 -- 711 -- 320 -- 725 -- 319 -- 42.0
40 -- 691 -- 309 -- 688 -- 323 -- 688 -- 323 -- 702 -- 320 -- 697 -- 309 -- 43.0
42 -- 702 -- 309 -- 704 -- 319 -- 704 -- 319 -- 715 -- 316 -- 715 -- 319 -- 44.0
0 -- 688 -- 284 -- 694 -- 311 -- 694 -- 311 -- 696 -- 296 -- 704 -- 307 -- 45.0
0 -- 702 -- 293 -- 706 -- 317 -- 710 -- 321 -- 709 -- 306 -- 717 -- 317 -- 46.0
0 -- 718 -- 308 -- 716 -- 341 -- 724 -- 341 -- 732 -- 313 -- 747 -- 308 -- 47.0
43 -- 735 -- 320 -- 725 -- 339 -- 722 -- 339 -- 750 -- 322 -- 737 -- 325 -- 48.0
