xCent -- yCent -- P#0X -- P#0Y -- P#1X -- P#1Y -- P#2X -- P#2Y -- t
744 -- 306 -- 739 -- 350 -- 740 -- 331 -- 773 -- 300 -- 1.0
748 -- 299 -- 742 -- 343 -- 742 -- 323 -- 776 -- 291 -- 2.0
745 -- 357 -- 726 -- 365 -- 726 -- 374 -- 773 -- 349 -- 3.0
743 -- 351 -- 726 -- 359 -- 723 -- 366 -- 771 -- 344 -- 4.0
747 -- 351 -- 724 -- 357 -- 725 -- 363 -- 775 -- 345 -- 5.0
744 -- 348 -- 710 -- 354 -- 721 -- 358 -- 773 -- 342 -- 6.0
733 -- 341 -- 716 -- 348 -- 713 -- 356 -- 761 -- 334 -- 7.0
729 -- 332 -- 708 -- 341 -- 709 -- 347 -- 757 -- 324 -- 8.0
731 -- 325 -- 714 -- 339 -- 713 -- 343 -- 759 -- 317 -- 9.0
723 -- 321 -- 709 -- 333 -- 708 -- 341 -- 737 -- 308 -- 10.0
685 -- 285 -- 692 -- 319 -- 684 -- 310 -- 687 -- 282 -- 11.0
695 -- 294 -- 700 -- 331 -- 694 -- 319 -- 723 -- 286 -- 12.0
693 -- 285 -- 697 -- 321 -- 690 -- 310 -- 722 -- 284 -- 13.0
700 -- 283 -- 698 -- 327 -- 698 -- 308 -- 729 -- 280 -- 14.0
710 -- 295 -- 710 -- 339 -- 708 -- 320 -- 739 -- 294 -- 15.0
710 -- 300 -- 708 -- 344 -- 709 -- 325 -- 739 -- 296 -- 16.0
726 -- 309 -- 722 -- 353 -- 725 -- 334 -- 755 -- 308 -- 17.0
722 -- 306 -- 716 -- 350 -- 718 -- 331 -- 751 -- 300 -- 18.0
727 -- 299 -- 721 -- 343 -- 718 -- 323 -- 756 -- 294 -- 19.0
727 -- 302 -- 722 -- 346 -- 718 -- 326 -- 756 -- 296 -- 20.0
729 -- 302 -- 722 -- 345 -- 724 -- 327 -- 758 -- 296 -- 21.0
730 -- 296 -- 724 -- 340 -- 724 -- 320 -- 759 -- 290 -- 22.0
730 -- 295 -- 724 -- 339 -- 722 -- 319 -- 759 -- 289 -- 23.0
730 -- 295 -- 724 -- 339 -- 726 -- 320 -- 759 -- 290 -- 24.0
732 -- 293 -- 726 -- 337 -- 726 -- 317 -- 760 -- 287 -- 25.0
729 -- 295 -- 723 -- 339 -- 721 -- 319 -- 758 -- 289 -- 26.0
731 -- 298 -- 726 -- 342 -- 724 -- 322 -- 760 -- 292 -- 27.0
733 -- 298 -- 727 -- 342 -- 729 -- 323 -- 762 -- 292 -- 28.0
731 -- 308 -- 725 -- 352 -- 724 -- 332 -- 760 -- 302 -- 29.0
733 -- 317 -- 729 -- 361 -- 732 -- 342 -- 762 -- 311 -- 30.0
730 -- 316 -- 727 -- 360 -- 726 -- 341 -- 759 -- 312 -- 31.0
728 -- 313 -- 724 -- 357 -- 725 -- 338 -- 757 -- 307 -- 32.0
738 -- 358 -- 714 -- 366 -- 717 -- 371 -- 766 -- 352 -- 33.0
731 -- 357 -- 704 -- 366 -- 709 -- 369 -- 760 -- 351 -- 34.0
737 -- 357 -- 712 -- 363 -- 715 -- 368 -- 766 -- 352 -- 35.0
722 -- 348 -- 693 -- 355 -- 699 -- 358 -- 751 -- 342 -- 36.0
730 -- 347 -- 712 -- 351 -- 708 -- 358 -- 749 -- 344 -- 37.0
722 -- 339 -- 703 -- 347 -- 701 -- 353 -- 750 -- 333 -- 38.0
718 -- 332 -- 693 -- 343 -- 699 -- 348 -- 746 -- 326 -- 39.0
725 -- 323 -- 694 -- 339 -- 709 -- 342 -- 753 -- 315 -- 40.0
702 -- 308 -- 680 -- 311 -- 680 -- 320 -- 731 -- 306 -- 41.0
697 -- 314 -- 686 -- 315 -- 698 -- 321 -- 717 -- 318 -- 42.0
691 -- 309 -- 693 -- 324 -- 688 -- 323 -- 695 -- 300 -- 43.0
702 -- 309 -- 704 -- 319 -- 704 -- 319 -- 711 -- 312 -- 44.0
688 -- 284 -- 694 -- 311 -- 688 -- 309 -- 689 -- 262 -- 45.0
702 -- 293 -- 706 -- 317 -- 702 -- 318 -- 701 -- 273 -- 46.0
718 -- 308 -- 724 -- 341 -- 713 -- 333 -- 747 -- 306 -- 47.0
735 -- 320 -- 722 -- 339 -- 725 -- 343 -- 759 -- 304 -- 48.0
731 -- 319 -- 722 -- 339 -- 721 -- 342 -- 757 -- 306 -- 49.0
720 -- 306 -- 720 -- 350 -- 714 -- 330 -- 749 -- 300 -- 50.0
728 -- 304 -- 722 -- 348 -- 723 -- 328 -- 757 -- 298 -- 51.0
728 -- 305 -- 722 -- 349 -- 720 -- 329 -- 757 -- 299 -- 52.0
732 -- 299 -- 726 -- 343 -- 724 -- 323 -- 761 -- 293 -- 53.0
728 -- 295 -- 726 -- 339 -- 726 -- 320 -- 757 -- 290 -- 54.0
732 -- 295 -- 728 -- 339 -- 724 -- 319 -- 761 -- 290 -- 55.0
735 -- 297 -- 729 -- 341 -- 726 -- 321 -- 763 -- 291 -- 56.0
735 -- 294 -- 732 -- 338 -- 730 -- 319 -- 763 -- 288 -- 57.0
739 -- 299 -- 733 -- 343 -- 732 -- 323 -- 768 -- 296 -- 58.0
740 -- 303 -- 734 -- 347 -- 735 -- 328 -- 769 -- 298 -- 59.0
741 -- 304 -- 738 -- 348 -- 738 -- 329 -- 770 -- 304 -- 60.0
742 -- 307 -- 736 -- 351 -- 736 -- 331 -- 771 -- 302 -- 61.0
757 -- 339 -- 743 -- 355 -- 745 -- 361 -- 779 -- 320 -- 62.0
747 -- 357 -- 722 -- 363 -- 725 -- 369 -- 775 -- 351 -- 63.0
