                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1753,                 5.0196,                 4.9489,                 1.7377,                0.00267,                    0.4,                0.14724,                0.03663,                  0.001,                   0.15,                0.04776,                0.01381,                 2.9072,                 4.0243,                 4.2783,                 1.4507,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.6469,                 3.6494,                 4.1748,                 1.2255,                0.70974,                    0.2,                0.24801,                0.07241,                0.27756,                    0.3,                0.15849,                0.02146,                 2.7831,                 3.0266,                 5.3549,                 1.1149,             0.00041584,             0.00041584,             0.00041584
                      3,                 2.1265,                  2.912,                 6.1017,                 1.1101,                0.00267,                    0.4,                0.00275,                0.00155,                0.00133,                    0.2,                 0.0009,                0.00011,                 2.3825,                 3.6974,                  8.567,                 1.2632,             0.00062733,             0.00062733,             0.00062733
                      4,                 2.1699,                 3.6665,                 3.0183,                 1.1236,                0.00067,                    0.1,                0.00039,                0.00033,                0.00067,                    0.1,                0.00039,                0.00015,                 2.2261,                 2.4371,                 216.28,                 1.1124,             0.00083446,             0.00083446,             0.00083446
                      5,                 1.8315,                 3.1856,                 4.0621,                 1.0913,                0.61634,                   0.15,                0.17058,                0.08338,                 0.4109,                    0.1,                0.09828,                0.02723,                 1.7835,                 2.4505,                 4.0126,                 1.0397,              0.0010372,              0.0010372,              0.0010372
                      6,                 2.0666,                 6.1609,                 4.0111,                 1.1746,                0.31566,                   0.55,                0.22146,                 0.0709,                 0.0576,                    0.1,                0.01999,                0.00258,                 2.1436,                 28.626,                 5.5124,                 1.1473,              0.0012357,              0.0012357,              0.0012357
                      7,                 2.1256,                 5.7802,                 3.7829,                 1.1807,                0.41182,                   0.25,                0.25056,                0.05822,                0.19524,                    0.5,                0.14784,                0.02337,                 2.4051,                 3.1024,                 2.3688,                 1.2215,              0.0014297,              0.0014297,              0.0014297
                      8,                   2.25,                 3.1357,                 2.7597,                 1.1806,                0.41182,                   0.25,                0.25056,                0.05822,                0.19524,                    0.5,                0.14784,                0.02337,                 3.0883,                 113.71,                 7.7529,                 2.1041,              0.0016194,              0.0016194,              0.0016194
                      9,                 1.9778,                 3.8299,                 3.2416,                 1.1136,                0.41182,                   0.25,                0.25056,                0.05822,                0.19524,                    0.5,                0.14784,                0.02337,                 3.0883,                 113.71,                 7.7529,                 2.1041,              0.0018048,              0.0018048,              0.0018048
                     10,                 2.1369,                 3.8964,                 3.2186,                 1.1478,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.6965,                   1609,                 6578.1,                  24.57,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2054,                 3.5658,                 3.0747,                 1.2271,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 4.5496,             1.3195e+05,             2.4396e+05,                  903.7,               0.001802,               0.001802,               0.001802
                     12,                 2.1298,                 3.1637,                 2.5909,                 1.1616,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 4.5496,             1.3195e+05,             2.4396e+05,                  903.7,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0009,                 2.8717,                 1.8447,                 1.0934,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.8516,                  67687,             3.0575e+05,                 444.08,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.076,                 3.1762,                 1.5801,                  1.119,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.8516,                  20208,             1.1024e+05,                 217.31,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.1687,                 3.4571,                 1.5767,                 1.1527,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.8516,                  20208,             1.1024e+05,                 217.31,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.9961,                 3.1013,                 1.6293,                 1.1255,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                      0,                      0,                 514.11,                      0,               0.001703,               0.001703,               0.001703
                     17,                 1.9024,                  2.974,                 1.4726,                 1.1037,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 1.0199,                 2261.1,                  25424,                 4.9222,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.865,                 2.7977,                 1.4381,                 1.0689,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.1863,                 28.534,                 665.86,                  10.39,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.7057,                 2.5349,                 1.2519,                 1.0216,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.1863,                 28.534,                 665.86,                  10.39,              0.0016436,              0.0016436,              0.0016436
                     20,                  1.741,                 2.6548,                 1.1948,                 1.0703,                0.00034,                   0.05,                0.00018,                  9e-05,                      0,                      0,                      0,                      0,                 3.2656,                 24.779,                 5.4071,                 4.7797,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.7664,                 2.7851,                 1.0877,                 1.0611,                0.94214,                    0.4,                0.40708,                0.17586,                0.34954,                   0.15,                0.06639,                0.00913,                  2.824,                 7.5713,                 1.9502,                 1.9358,               0.001604,               0.001604,               0.001604
                     22,                 1.8603,                  2.842,                 1.1158,                 1.0495,                0.94214,                    0.4,                0.40708,                0.17586,                0.34954,                   0.15,                0.06639,                0.00913,                  2.824,                 7.5713,                 1.9502,                 1.9358,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8489,                  2.656,                 1.0702,                 1.1193,                0.98817,                    0.4,                0.48476,                 0.2645,                0.38686,                   0.25,                0.19581,                0.03474,                 2.1079,                 2.6477,                 1.2745,                 1.1977,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8083,                 2.4965,                0.98058,                 1.0922,                0.74436,                   0.75,                 0.7404,                0.31675,                0.48655,                    0.6,                0.51706,                0.12179,                 1.7604,                 2.1129,                0.98669,                 1.0453,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.6628,                 2.1599,                 0.9286,                 1.0221,                0.74436,                   0.75,                 0.7404,                0.31675,                0.48655,                    0.6,                0.51706,                0.12179,                 1.7604,                 2.1129,                0.98669,                 1.0453,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.6672,                 2.2869,                0.93947,                0.99922,                0.70913,                0.73197,                0.71291,                0.34402,                0.64887,                   0.75,                0.74014,                0.24123,                 1.6963,                 2.0394,                  0.862,                  1.015,               0.001505,               0.001505,               0.001505
                     27,                 1.7951,                 2.4215,                 1.0218,                 1.1097,                0.77698,                    0.9,                0.86101,                0.39885,                0.66569,                    0.5,                0.54861,                0.15774,                 1.7347,                 2.1856,                 0.7759,                 1.0307,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8711,                 2.6245,                 1.0041,                 1.0606,                0.77698,                    0.9,                0.86101,                0.39885,                0.66569,                    0.5,                0.54861,                0.15774,                 1.7347,                 2.1856,                 0.7759,                 1.0307,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.8108,                 2.5124,                0.96421,                 1.0607,                 0.8221,                    0.7,                0.81654,                0.40935,                0.62673,                   0.55,                0.49662,                0.17295,                 1.8333,                 1.9336,                0.84136,                 1.1061,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.6686,                 2.4991,                0.91938,                 1.0168,                0.88302,                    0.7,                0.88188,                0.37817,                0.81698,                   0.65,                0.77338,                0.22072,                 1.9051,                 1.7919,                0.87732,                  1.118,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.7365,                 2.3705,                0.91943,                0.97925,                0.88302,                    0.7,                0.88188,                0.37817,                0.81698,                   0.65,                0.77338,                0.22072,                 1.9051,                 1.7919,                0.87732,                  1.118,               0.001406,               0.001406,               0.001406
                     32,                 1.7661,                 2.1102,                0.93724,                 1.0732,                0.85342,                    0.8,                0.86288,                0.41874,                0.79621,                   0.75,                0.75822,                0.22115,                 1.8061,                 1.5335,                0.89845,                 1.0816,              0.0013862,              0.0013862,              0.0013862
