x -- y -- t
9.25 -- 9.5 -- 0.0
10.0 -- 10.25 -- 0.1
10.5 -- 11.25 -- 0.2
11.25 -- 12.25 -- 0.3
11.75 -- 13.75 -- 0.4
12.0 -- 14.75 -- 0.5
12.25 -- 16.25 -- 0.6
12.25 -- 17.5 -- 0.7
12.0 -- 18.5 -- 0.8
12.0 -- 19.75 -- 0.9
11.5 -- 20.5 -- 1.0
10.75 -- 21.25 -- 1.1
10.25 -- 21.75 -- 1.2
10.0 -- 22.0 -- 1.3
9.5 -- 22.0 -- 1.4
9.25 -- 21.75 -- 1.5
9.25 -- 21.25 -- 1.6
9.5 -- 20.75 -- 1.7
10.0 -- 20.25 -- 1.8
10.5 -- 19.5 -- 1.9
12.0 -- 19.0 -- 2.0
13.25 -- 18.5 -- 2.1
15.0 -- 18.25 -- 2.2
17.0 -- 18.25 -- 2.3
19.25 -- 18.5 -- 2.4
21.5 -- 19.5 -- 2.5
23.75 -- 20.5 -- 2.6
26.0 -- 22.25 -- 2.7
28.0 -- 24.25 -- 2.8
30.25 -- 26.5 -- 2.9
31.75 -- 29.25 -- 3.0
32.75 -- 32.25 -- 3.1
33.75 -- 35.5 -- 3.2
34.0 -- 38.75 -- 3.3
33.5 -- 42.0 -- 3.4
32.5 -- 45.0 -- 3.5
31.25 -- 48.0 -- 3.6
29.5 -- 50.75 -- 3.7
27.5 -- 52.75 -- 3.8
24.75 -- 54.25 -- 3.9
22.25 -- 55.5 -- 4.0
19.5 -- 55.75 -- 4.1
16.75 -- 55.5 -- 4.2
14.25 -- 54.75 -- 4.3
12.25 -- 53.25 -- 4.4
10.75 -- 51.25 -- 4.5
9.75 -- 48.75 -- 4.6
9.25 -- 46.0 -- 4.7
9.5 -- 43.0 -- 4.8
10.5 -- 40.25 -- 4.9
12.25 -- 37.25 -- 5.0
14.75 -- 34.75 -- 5.1
18.0 -- 32.75 -- 5.2
21.75 -- 31.25 -- 5.3
26.0 -- 30.75 -- 5.4
30.25 -- 30.75 -- 5.5
35.0 -- 31.25 -- 5.6
39.75 -- 33.0 -- 5.7
43.75 -- 35.75 -- 5.8
48.0 -- 39.0 -- 5.9
51.5 -- 43.0 -- 6.0
54.25 -- 48.0 -- 6.1
56.25 -- 53.25 -- 6.2
